ticker,company_name,industry
CRMC,S.C. Carmeco S.A.,automotive
ABN,Abn Systems International SA,technology
REIT,Star Residence Invest Sa,realestate
BUCS,S.C. Bucovina S.A.,food_beverage
DENT,Dr. Fischer Dental S.A.,healthcare
ARAX,Armax Gaz SA,utilities
CNTE,S.C. Conted S.A.,construction
TRVM,S.C. Transcom S.A.,transport
MILK,Agroserv Mariuta S.A.,agriculture
IANY,S.C. 24 Ianuarie S.A.,industrial
UZIN,SC Uzinexport SA,industrial
RELE,S.C. Relee S.A.,technology
ELJ,S.C. Electroaparataj S.A.,industrial
ADISS,Adiss S.A.,construction
CEPO,S.C. Ceprocim S.A.,materials
ECT,SC Grupul Industrial Electrocontact SA,industrial
COMI,S.C. Condmag S.A.,industrial
CHRD,Chromosome Dynamics S.a.,healthcare
SATU,S.C. Saturn S.A. Alba Iulia,materials
ARM,Armatura SA,industrial
INOX,S.C. Inox S.A.,materials
COUT,S.C. Comturist S.A.,leisure
HUNT,iHunt Technology Import-Export S.A.,technology
BIOW,Vifrana S.A.,agriculture
BONA,Bonas Import Export S.A.,retail
FRB,Firebyte Games S.A.,technology
MAM,Mambricolaj S.A.,construction
EEAI,S.C. Electroconstructia Elco Alba Iulia S.A.,industrial
PVBS,Perseus Fintech S A,financials
MESA,S.C. Metalul Mesa S.A.,materials
ENP,SC Compania Energopetrol SA,energy
COMY,Comat SA (Giurgiu),materials
GGC,Glissando Garden Center S.a.,retail
